Location,ParentLocation,PM25_Value,Average_PM25
Burundi,Africa,28.6,29.812282051282054
Cabo Verde,Africa,28.63,29.812282051282054
Equatorial Guinea,Africa,28.69,29.812282051282054
Congo,Africa,28.77,29.812282051282054
Democratic Republic of the Congo,Africa,28.91,29.812282051282054
Gabon,Africa,29.32,29.812282051282054
Sao Tome and Principe,Africa,29.49,29.812282051282054
Uganda,Africa,29.57,29.812282051282054
Uganda,Africa,30.1,29.812282051282054
Angola,Africa,30.31,29.812282051282054
Equatorial Guinea,Africa,30.87,29.812282051282054
Angola,Africa,31.16,29.812282051282054
Uganda,Africa,31.28,29.812282051282054
Democratic Republic of the Congo,Africa,31.32,29.812282051282054
Sao Tome and Principe,Africa,31.63,29.812282051282054
Benin,Africa,31.76,29.812282051282054
Uganda,Africa,32.18,29.812282051282054
Gabon,Africa,32.29,29.812282051282054
Central African Republic,Africa,32.35,29.812282051282054
Cabo Verde,Africa,32.59,29.812282051282054
Liberia,Africa,32.64,29.812282051282054
Benin,Africa,32.64,29.812282051282054
Benin,Africa,32.66,29.812282051282054
Benin,Africa,32.69,29.812282051282054
Guinea-Bissau,Africa,33.12,29.812282051282054
Gabon,Africa,33.25,29.812282051282054
Benin,Africa,33.46,29.812282051282054
Liberia,Africa,33.5,29.812282051282054
Sao Tome and Principe,Africa,33.62,29.812282051282054
Democratic Republic of the Congo,Africa,33.9,29.812282051282054
Cabo Verde,Africa,33.95,29.812282051282054
Cabo Verde,Africa,34.22,29.812282051282054
Rwanda,Africa,34.39,29.812282051282054
Rwanda,Africa,34.42,29.812282051282054
Central African Republic,Africa,34.45,29.812282051282054
Congo,Africa,34.59,29.812282051282054
Rwanda,Africa,34.71,29.812282051282054
Cabo Verde,Africa,34.73,29.812282051282054
Rwanda,Africa,34.83,29.812282051282054
Guinea,Africa,35.32,29.812282051282054
Togo,Africa,35.45,29.812282051282054
Togo,Africa,35.49,29.812282051282054
Congo,Africa,35.97,29.812282051282054
Liberia,Africa,35.98,29.812282051282054
Gambia,Africa,36.03,29.812282051282054
Sao Tome and Principe,Africa,36.08,29.812282051282054
Sao Tome and Principe,Africa,36.29,29.812282051282054
Guinea-Bissau,Africa,36.48,29.812282051282054
